Player,Team,Player Pts,Worth
Moses,Chelsea,62,£5.7
Zaha,Crystal Palace,88,£5.7
Bolasie,Everton,45,£5.7
Success,Watford,14,£5.7
Cabaye,Crystal Palace,36,£5.6
Lingard,Man Utd,27,£5.6
Walters,Stoke,47,£5.6
Lookman,Everton,0,£5.5
Lennon,Everton,21,£5.5
Bojan,Stoke,30,£5.5
Hendrick,Burnley,40,£5.4
Afellay,Stoke,4,£5.4
Dembélé,Spurs,29,£5.4
King,Bournemouth,57,£5.3
Sako,Crystal Palace,4,£5.3
Drinkwater,Leicester,34,£5.3
Fernandinho,Man City,38,£5.3
Ramírez,Middlesbrough,53,£5.3
Allen,Stoke,78,£5.3
Januzaj,Sunderland,22,£5.3
Töre,West Ham,10,£5.3
Xhaka,Arsenal,39,£5.2
Stanislas,Bournemouth,64,£5.2
Arfield,Burnley,47,£5.2
Puncheon,Crystal Palace,45,£5.2
Boyd,Burnley,41,£5.1
Matic,Chelsea,65,£5.1
Loftus-Cheek,Chelsea,1,£5.1
Young,Man Utd,6,£5.1
Schweinsteiger,Man Utd,0,£5.1
Davis,Southampton,41,£5.1
Kenedy,Watford,1,£5.1
Cleverley,Watford,13,£5.1
Gardner,West Brom,14,£5.1
Kouyaté,West Ham,43,£5.1
Arter,Bournemouth,46,£5.0
Gradel,Bournemouth,4,£5.0
Gudmundsson,Burnley,41,£5.0
Gueye,Everton,50,£5.0
Ndidi,Leicester,0,£5.0
Albrighton,Leicester,39,£5.0
Kapustka,Leicester,0,£5.0
García,Man City,3,£5.0
Gündogan,Man City,41,£5.0
Downing,Middlesbrough,46,£5.0
Ward-Prowse,Southampton,36,£5.0
Ki Sung-yueng,Swansea,20,£5.0
Montero,Swansea,16,£5.0
Dier,Spurs,38,£5.0
Amrabat,Watford,46,£5.0
Feghouli,West Ham,8,£5.0
Ibe,Bournemouth,24,£4.9
Henriksen,Hull,16,£4.9
Can,Liverpool,44,£4.9
Fischer,Middlesbrough,21,£4.9
Sobhi,Stoke,13,£4.9
Fer,Swansea,65,£4.9
McClean,West Brom,33,£4.9
Fraser,Bournemouth,47,£4.8
McArthur,Crystal Palace,66,£4.8
McCarthy,Everton,9,£4.8
Livermore,Hull,45,£4.8
King,Leicester,31,£4.8
Gray,Leicester,31,£4.8
Traoré,Middlesbrough,25,£4.8
Pienaar,Sunderland,13,£4.8
Ndong,Sunderland,32,£4.8
Watmore,Sunderland,43,£4.8
Wanyama,Spurs,54,£4.8
Capoue,Watford,83,£4.8
Fernandes,West Ham,14,£4.8
Pugh,Bournemouth,17,£4.7
Gosling,Bournemouth,35,£4.7
Kanté,Chelsea,48,£4.7
Mason,Hull,23,£4.7
Clucas,Hull,38,£4.7
Elmohamady,Hull,37,£4.7
Sheyi Ojo,Liverpool,0,£4.7
Delph,Man City,2,£4.7
Fernando,Man City,14,£4.7
Leadbitter,Middlesbrough,12,£4.7
Adam,Stoke,40,£4.7
Larsson,Sunderland,11,£4.7
Routledge,Swansea,47,£4.7
Dyer,Swansea,9,£4.7
Nordtveit,West Ham,22,£4.7
Elneny,Arsenal,21,£4.6
Surman,Bournemouth,25,£4.6
Schneiderlin,Everton,3,£4.6
Huddlestone,Hull,30,£4.6
Clasie,Southampton,21,£4.6
Imbula,Stoke,22,£4.6
Cork,Swansea,29,£4.6
Doucouré,Watford,4,£4.6
Morrison,West Brom,42,£4.6
Reine-Adelaide,Arsenal,0,£4.5
Maitland-Niles,Arsenal,1,£4.5
Marney,Burnley,48,£4.5
Barton,Burnley,0,£4.5
Chalobah,Chelsea,10,£4.5
Phillips,Crystal Palace,0,£4.5
Husin,Crystal Palace,0,£4.5
Wan-Bissaka,Crystal Palace,0,£4.5
Kaikai,Crystal Palace,0,£4.5
Barry,Everton,47,£4.5
James,Leicester,1,£4.5
Amartey,Leicester,44,£4.5
